T21,"Production, trade and supply of energy",,,,,
268,Georgia,1995,Primary energy production (petajoules),50.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2000,Primary energy production (petajoules),55.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2005,Primary energy production (petajoules),53.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2010,Primary energy production (petajoules),58.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2015,Primary energy production (petajoules),58.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2016,Primary energy production (petajoules),60.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2017,Primary energy production (petajoules),58.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),37.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),65.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),82.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),82.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),141.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),143.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),146.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,1995,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2000,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2005,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2010,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2015,Changes in stocks (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2016,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2017,Changes in stocks (petajoules),-1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,1995,Total supply (petajoules),88.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2000,Total supply (petajoules),120.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2005,Total supply (petajoules),135.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2010,Total supply (petajoules),140.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2015,Total supply (petajoules),198.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2016,Total supply (petajoules),203.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2017,Total supply (petajoules),204.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,1995,Supply per capita (gigajoules),17.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2000,Supply per capita (gigajoules),25.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2005,Supply per capita (gigajoules),30.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2010,Supply per capita (gigajoules),33.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2015,Supply per capita (gigajoules),50.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2016,Supply per capita (gigajoules),52.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
268,Georgia,2017,Supply per capita (gigajoules),52.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,1995,Primary energy production (petajoules),6050.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2000,Primary energy production (petajoules),5643.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2005,Primary energy production (petajoules),5721.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2010,Primary energy production (petajoules),5387.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2015,Primary energy production (petajoules),5016.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2016,Primary energy production (petajoules),4843.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2017,Primary energy production (petajoules),4801.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7896.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8254.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2005,Net imports [Imports - Exports - Bunkers] (petajoules),8428.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8100.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7871.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2016,Net imports [Imports - Exports - Bunkers] (petajoules),8099.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8162.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,1995,Changes in stocks (petajoules),-137.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2000,Changes in stocks (petajoules),-184.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2005,Changes in stocks (petajoules),46.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2010,Changes in stocks (petajoules),-179.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2015,Changes in stocks (petajoules),-16.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2016,Changes in stocks (petajoules),-29.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2017,Changes in stocks (petajoules),-36.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,1995,Total supply (petajoules),14083.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2000,Total supply (petajoules),14081.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2005,Total supply (petajoules),14102.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2010,Total supply (petajoules),13666.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2015,Total supply (petajoules),12904.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2016,Total supply (petajoules),12971.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2017,Total supply (petajoules),12999.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,1995,Supply per capita (gigajoules),172.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2000,Supply per capita (gigajoules),171.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2005,Supply per capita (gigajoules),171.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2010,Supply per capita (gigajoules),169.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2015,Supply per capita (gigajoules),158.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2016,Supply per capita (gigajoules),158.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
276,Germany,2017,Supply per capita (gigajoules),158.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1990,Primary energy production (petajoules),138.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1995,Primary energy production (petajoules),211.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2000,Primary energy production (petajoules),192.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2005,Primary energy production (petajoules),164.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2010,Primary energy production (petajoules),148.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2015,Primary energy production (petajoules),372.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2016,Primary energy production (petajoules),336.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2017,Primary energy production (petajoules),519.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1990,Net imports [Imports - Exports - Bunkers] (petajoules),49.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1995,Net imports [Imports - Exports - Bunkers] (petajoules),66.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2000,Net imports [Imports - Exports - Bunkers] (petajoules),79.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2005,Net imports [Imports - Exports - Bunkers] (petajoules),87.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2010,Net imports [Imports - Exports - Bunkers] (petajoules),120.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-31.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2016,Net imports [Imports - Exports - Bunkers] (petajoules),18.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-189.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1990,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2010,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2015,Changes in stocks (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2016,Changes in stocks (petajoules),14.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2017,Changes in stocks (petajoules),16.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1990,Total supply (petajoules),187.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1995,Total supply (petajoules),277.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2000,Total supply (petajoules),271.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2005,Total supply (petajoules),251.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2010,Total supply (petajoules),267.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2015,Total supply (petajoules),339.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2016,Total supply (petajoules),340.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2017,Total supply (petajoules),315.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1990,Supply per capita (gigajoules),13.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,1995,Supply per capita (gigajoules),16.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2000,Supply per capita (gigajoules),14.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2005,Supply per capita (gigajoules),12.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2010,Supply per capita (gigajoules),11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2015,Supply per capita (gigajoules),12.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2016,Supply per capita (gigajoules),12.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
288,Ghana,2017,Supply per capita (gigajoules),11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1990,Net imports [Imports - Exports - Bunkers] (petajoules),3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2015,Net imports [Imports - Exports - Bunkers] (petajoules),9.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2016,Net imports [Imports - Exports - Bunkers] (petajoules),10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2017,Net imports [Imports - Exports - Bunkers] (petajoules),11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1990,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1990,Total supply (petajoules),2.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1995,Total supply (petajoules),4.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2000,Total supply (petajoules),5.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2005,Total supply (petajoules),6.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2010,Total supply (petajoules),7.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2015,Total supply (petajoules),9.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2016,Total supply (petajoules),10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2017,Total supply (petajoules),11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1990,Supply per capita (gigajoules),90.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,1995,Supply per capita (gigajoules),162.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2000,Supply per capita (gigajoules),197.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2005,Supply per capita (gigajoules),219.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2010,Supply per capita (gigajoules),220.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2015,Supply per capita (gigajoules),262.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2016,Supply per capita (gigajoules),285.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
292,Gibraltar,2017,Supply per capita (gigajoules),309.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1990,Primary energy production (petajoules),385.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1995,Primary energy production (petajoules),389.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2000,Primary energy production (petajoules),418.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2005,Primary energy production (petajoules),432.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2010,Primary energy production (petajoules),395.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2015,Primary energy production (petajoules),354.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2016,Primary energy production (petajoules),281.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2017,Primary energy production (petajoules),301.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1990,Net imports [Imports - Exports - Bunkers] (petajoules),499.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1995,Net imports [Imports - Exports - Bunkers] (petajoules),569.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2000,Net imports [Imports - Exports - Bunkers] (petajoules),725.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2005,Net imports [Imports - Exports - Bunkers] (petajoules),820.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2010,Net imports [Imports - Exports - Bunkers] (petajoules),749.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2015,Net imports [Imports - Exports - Bunkers] (petajoules),654.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2016,Net imports [Imports - Exports - Bunkers] (petajoules),658.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2017,Net imports [Imports - Exports - Bunkers] (petajoules),653.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1990,Changes in stocks (petajoules),-10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1995,Changes in stocks (petajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2000,Changes in stocks (petajoules),12.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2005,Changes in stocks (petajoules),-15.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2010,Changes in stocks (petajoules),-11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2015,Changes in stocks (petajoules),43.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2016,Changes in stocks (petajoules),6.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2017,Changes in stocks (petajoules),-11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1990,Total supply (petajoules),895.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1995,Total supply (petajoules),950.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2000,Total supply (petajoules),1131.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2005,Total supply (petajoules),1265.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2010,Total supply (petajoules),1155.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2015,Total supply (petajoules),965.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2016,Total supply (petajoules),933.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2017,Total supply (petajoules),966.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1990,Supply per capita (gigajoules),88.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,1995,Supply per capita (gigajoules),89.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2000,Supply per capita (gigajoules),103.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2005,Supply per capita (gigajoules),113.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2010,Supply per capita (gigajoules),101.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2015,Supply per capita (gigajoules),86.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2016,Supply per capita (gigajoules),83.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
300,Greece,2017,Supply per capita (gigajoules),87.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,1990,Primary energy production (petajoules),0.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,1995,Primary energy production (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2000,Primary energy production (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2005,Primary energy production (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2010,Primary energy production (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2015,Primary energy production (petajoules),2.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2016,Primary energy production (petajoules),2.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2017,Primary energy production (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2005,Net imports [Imports - Exports - Bunkers] (petajoules),9.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2010,Net imports [Imports - Exports - Bunkers] (petajoules),10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2016,Net imports [Imports - Exports - Bunkers] (petajoules),7.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2017,Net imports [Imports - Exports - Bunkers] (petajoules),7.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2005,Changes in stocks (petajoules),1.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2010,Changes in stocks (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2015,Changes in stocks (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2016,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
304,Greenland,2017,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
