T22,Land,,,,,
584,Marshall Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),10.1131,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
474,Martinique,2005,Land area (thousand hectares),106.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Arable land (thousand hectares),10.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Permanent crops (thousand hectares),8.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Forest cover (thousand hectares),48.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Arable land (% of total land area),9.4340,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Permanent crops (% of total land area),7.5472,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Forest cover (% of total land area),45.7547,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),52.5937,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
474,Martinique,2010,Land area (thousand hectares),106.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Arable land (thousand hectares),10.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Permanent crops (thousand hectares),7.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Forest cover (thousand hectares),48.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Arable land (% of total land area),9.6226,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Permanent crops (% of total land area),6.9811,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Forest cover (% of total land area),45.7547,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),97.1841,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
474,Martinique,2017,Land area (thousand hectares),106.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Arable land (thousand hectares),9.4800,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Permanent crops (thousand hectares),5.4600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Forest cover (thousand hectares),48.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Arable land (% of total land area),8.9434,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Permanent crops (% of total land area),5.1509,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Forest cover (% of total land area),45.7547,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
474,Martinique,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),99.6979,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
474,Martinique,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),99.6979,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
478,Mauritania,2005,Land area (thousand hectares),103070.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Arable land (thousand hectares),400.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Permanent crops (thousand hectares),11.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Forest cover (thousand hectares),267.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Arable land (% of total land area),0.3881,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Permanent crops (% of total land area),0.0107,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Forest cover (% of total land area),0.2590,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1722,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
478,Mauritania,2010,Land area (thousand hectares),103070.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Arable land (thousand hectares),450.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Permanent crops (thousand hectares),11.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Forest cover (thousand hectares),242.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Arable land (% of total land area),0.4366,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Permanent crops (% of total land area),0.0107,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Forest cover (% of total land area),0.2348,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1722,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
478,Mauritania,2017,Land area (thousand hectares),103070.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Arable land (thousand hectares),400.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Permanent crops (thousand hectares),11.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Forest cover (thousand hectares),224.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Arable land (% of total land area),0.3881,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Permanent crops (% of total land area),0.0107,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Forest cover (% of total land area),0.2178,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
478,Mauritania,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1722,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
478,Mauritania,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),11.1722,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
480,Mauritius,2005,Land area (thousand hectares),203.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Arable land (thousand hectares),85.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Permanent crops (thousand hectares),4.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Forest cover (thousand hectares),38.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Arable land (% of total land area),41.8719,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Permanent crops (% of total land area),1.9704,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Forest cover (% of total land area),18.8177,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),8.9594,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
480,Mauritius,2010,Land area (thousand hectares),203.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Arable land (thousand hectares),80.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Permanent crops (thousand hectares),4.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Forest cover (thousand hectares),38.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Arable land (% of total land area),39.4089,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Permanent crops (% of total land area),1.9704,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Forest cover (% of total land area),18.9163,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),9.0208,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
480,Mauritius,2017,Land area (thousand hectares),203.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Arable land (thousand hectares),75.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Permanent crops (thousand hectares),4.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Forest cover (thousand hectares),38.6000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Arable land (% of total land area),36.9458,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Permanent crops (% of total land area),1.9704,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Forest cover (% of total land area),19.0148,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
480,Mauritius,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),9.6385,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
480,Mauritius,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),9.6385,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
175,Mayotte,2005,Land area (thousand hectares),37.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Arable land (thousand hectares),10.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Permanent crops (thousand hectares),10.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Forest cover (thousand hectares),7.7600,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Arable land (% of total land area),26.7380,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Permanent crops (% of total land area),26.7380,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Forest cover (% of total land area),20.7487,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.7180,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
175,Mayotte,2010,Land area (thousand hectares),37.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Arable land (thousand hectares),16.6000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Permanent crops (thousand hectares),3.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Forest cover (thousand hectares),6.7900,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Arable land (% of total land area),44.3850,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Permanent crops (% of total land area),9.0909,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Forest cover (% of total land area),18.1551,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),64.0506,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
175,Mayotte,2017,Land area (thousand hectares),37.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Arable land (thousand hectares),17.2500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Permanent crops (thousand hectares),2.7300,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Forest cover (thousand hectares),5.8200,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Arable land (% of total land area),46.1230,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Permanent crops (% of total land area),7.2995,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Forest cover (% of total land area),15.5615,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
175,Mayotte,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),64.2719,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
175,Mayotte,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),64.2719,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
484,Mexico,2005,Land area (thousand hectares),194395.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Arable land (thousand hectares),23296.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Permanent crops (thousand hectares),2607.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Forest cover (thousand hectares),67083.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Arable land (% of total land area),11.9838,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Permanent crops (% of total land area),1.3411,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Forest cover (% of total land area),34.5086,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.7547,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
484,Mexico,2010,Land area (thousand hectares),194395.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Arable land (thousand hectares),21527.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Permanent crops (thousand hectares),2651.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Forest cover (thousand hectares),66498.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Arable land (% of total land area),11.0738,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Permanent crops (% of total land area),1.3637,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Forest cover (% of total land area),34.2077,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.0083,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
484,Mexico,2017,Land area (thousand hectares),194395.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Arable land (thousand hectares),23905.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Permanent crops (thousand hectares),2669.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Forest cover (thousand hectares),66040.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Arable land (% of total land area),12.2971,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Permanent crops (% of total land area),1.3730,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Forest cover (% of total land area),33.9721,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
484,Mexico,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),37.0294,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
484,Mexico,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),37.0733,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
583,Micronesia (Fed. States of),2005,Land area (thousand hectares),70.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Arable land (thousand hectares),2.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Permanent crops (thousand hectares),17.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Forest cover (thousand hectares),63.9930,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Arable land (% of total land area),3.5714,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Permanent crops (% of total land area),24.2857,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Forest cover (% of total land area),91.4186,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0239,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
583,Micronesia (Fed. States of),2010,Land area (thousand hectares),70.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Arable land (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Permanent crops (thousand hectares),17.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Forest cover (thousand hectares),64.1290,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Arable land (% of total land area),2.8571,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Permanent crops (% of total land area),24.2857,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Forest cover (% of total land area),91.6129,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0239,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
583,Micronesia (Fed. States of),2017,Land area (thousand hectares),70.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Arable land (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Permanent crops (thousand hectares),17.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Forest cover (thousand hectares),64.2650,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Arable land (% of total land area),2.8571,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Permanent crops (% of total land area),24.2857,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Forest cover (% of total land area),91.8071,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
583,Micronesia (Fed. States of),2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0239,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
583,Micronesia (Fed. States of),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0239,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
496,Mongolia,2005,Land area (thousand hectares),155356.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Arable land (thousand hectares),695.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Permanent crops (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Forest cover (thousand hectares),11308.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Arable land (% of total land area),0.4474,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Permanent crops (% of total land area),0.0013,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Forest cover (% of total land area),7.2788,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.5183,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
496,Mongolia,2010,Land area (thousand hectares),155356.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2010,Arable land (thousand hectares),614.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
496,Mongolia,2010,Permanent crops (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
